,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timely_Response,Timely_Fixes,Timely_Replacements,Reliability,Options,Respectful_Response,Courteous_Exchange,Active_Listening,Education_Associate_Degree,Education_Bachelor_Degree,Education_Doctorate_Degree,Education_GED_or_Alternative_Credential,Education_Master_Degree,Education_No_Schooling_Completed,Education_Nursery_School_to_8th_Grade,Education_Professional_School_Degree,Education_Regular_High_School_Diploma,Education_Some_College__1_or_More_Years__No_Degree,Education_Some_College__Less_than_1_Year,Employment_Part_Time,Employment_Retired,Employment_Student,Employment_Unemployed,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Prefer_not_to_answer,Churn_Yes,Techie_Yes,Contract_One_year,Contract_Two_Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber_Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit_Card__auto,PaymentMethod_Electronic_Check,PaymentMethod_Mailed_Check
1143,3.0,74.0,87428.18,7.465039605,0,3.072369855,169.5127165,584.4226607,3,4,4,5,3,2,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
1145,2.0,67.0,45546.55,14.73890599,1,8.417226873,94.58965177,770.6307096,3,4,4,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0
1147,3.0,49.0,15777.93,11.00783639,1,7.95236848,186.9337482,1197.290608,4,3,3,4,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1
1148,3.0,67.0,50109.93,12.86168164,0,8.889790813,203.5170783,1710.907598,5,4,4,3,5,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
1149,9.0,54.0,63005.71,15.79164536,1,1.112321784,278.2944436,1053.415573,4,2,3,4,3,2,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0
1154,3.0,25.0,54669.67,9.265571022,0,13.85473212,218.290855,1792.56277,1,3,1,4,3,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
1157,5.0,51.0,27937.54,8.036277111,1,8.098851806,161.951765,1152.968935,3,3,2,3,3,6,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0
1158,0.0,82.0,14629.71,12.33991816,2,19.16163631,163.4894275,1746.011415,2,2,3,3,4,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1
1159,3.0,56.0,60109.62,16.15375033,0,9.932932319,223.0112338,1898.286119,3,4,4,5,5,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0
1165,0.0,72.0,4916.91,16.86654496,2,1.068799086,171.8603096,504.9814106,3,4,3,4,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1
1171,0.0,81.0,8669.16,13.50592546,0,3.61323465,250.8164207,804.3790601,4,3,2,2,6,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0
1173,3.0,85.0,18788.66,15.39572805,0,9.378558244,192.492623,1150.450972,2,3,3,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0
1181,1.0,49.0,4812.74,12.05768606,0,13.34966275,171.5700527,1454.923517,5,4,4,4,3,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0
1182,2.0,31.0,12061.92,11.98640743,0,9.045537332,146.0002548,1014.854462,4,5,5,5,3,4,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
1185,1.0,84.0,15048.63,11.01873511,0,7.570075544,222.6932039,1524.945096,4,5,4,4,2,5,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0
1188,2.0,73.0,58997.61,7.376467374,1,13.66699636,173.050675,1523.590353,3,3,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1191,0.0,24.0,7945.24,41.48783975,1,6.691537735,162.7941432,805.3931837,4,5,4,4,4,3,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
1194,0.0,70.0,3223.21,12.96484689,0,9.764790968,170.8786354,891.5354705,5,3,4,4,4,5,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
1198,3.0,50.0,48154.12,18.31568543,0,1.723983897,141.6331472,888.9795791,2,3,4,4,2,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1201,9.0,57.0,32810.46,14.3165604,1,1.43538042,79.11551165,367.3059091,5,5,5,2,5,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1202,0.0,29.0,49106.35,10.06329605,0,13.3451101,92.27516342,1571.397537,1,2,1,3,3,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1204,0.0,81.0,40661.06,3.165064894,0,9.028422616,95.66780578,876.3492188,4,5,4,4,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
1212,3.0,28.0,34407.99,11.78426267,0,9.38712707,277.9718106,1712.794495,4,3,3,5,3,4,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
1216,0.0,23.0,15002.6,37.23341002,0,10.08463748,211.1924216,1310.382845,4,3,5,4,2,4,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1
1217,2.0,70.0,51988.65,9.643831677,0,6.169035922,195.8050511,909.9557807,4,3,3,5,2,4,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
1221,0.0,85.0,22274.11,9.618252559,1,15.82334026,191.1251676,2123.334993,4,4,3,3,5,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
1222,4.0,32.0,20436.28,8.026811989,0,6.862244054,255.3224064,1476.644914,2,2,2,5,2,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0
1230,0.0,41.0,98906.55,9.141205239,0,4.997365436,162.0664038,1154.892024,4,3,4,3,4,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0
1241,3.0,88.0,73646.38,8.490865855,0,8.000279417,173.3631753,1441.176168,3,3,4,4,3,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
1247,0.0,22.0,18159.87,4.450745695,0,17.63783701,171.7321763,1979.490592,3,3,3,4,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
1263,2.0,41.0,67940.02,12.02161568,0,18.95221637,117.2267348,1839.699549,3,3,3,4,1,4,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0
1265,1.0,26.0,27692.11,11.0595137,0,2.728247011,148.1061782,488.2811705,3,3,4,3,3,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1267,0.0,73.0,22536.48,6.302794795,0,22.71649048,182.854217,2128.80443,3,4,3,3,3,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0
1268,2.0,55.0,35730.59,9.985946543,0,13.28051861,215.5183876,1541.165921,4,4,4,3,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0
1273,4.0,33.0,43436.42,7.982151057,0,12.60420397,243.0120947,1809.863378,2,3,4,6,4,4,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0
1274,1.0,33.0,56327.41,14.14894476,0,17.92733138,152.4360973,2295.960298,2,3,2,4,3,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
1281,3.0,65.0,36333.77,11.99225502,0,1.225588884,193.9487524,547.9869964,3,3,3,3,5,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
1289,1.0,73.0,69444.54,8.493543268,0,3.124488057,148.7572689,520.8892347,3,4,4,4,2,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0
1290,1.0,68.0,57844.94,13.7058659,0,6.958063425,197.4501096,1356.12218,5,5,5,3,3,5,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0
1293,1.0,36.0,39702.07,31.03370866,1,4.269258862,202.6528578,919.2881691,6,5,5,3,3,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
1303,1.0,29.0,42326.58,9.215056723,0,25.88644227,164.2508327,2576.783187,2,3,3,2,3,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0
1304,0.0,87.0,4523.8,13.26519408,0,15.59096202,127.0479351,1826.678884,4,3,3,3,5,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
1309,1.0,74.0,18185.88,13.05474775,0,7.925553778,155.4576848,1460.729298,3,4,4,3,4,5,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0
1314,3.0,38.0,40392.47,8.74284679,0,11.03162791,171.4615936,1442.347357,2,4,2,4,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0
1322,0.0,48.0,24892.78,7.736076766,1,2.849622074,194.1667495,592.8646912,4,3,4,2,4,6,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0
1327,2.0,20.0,12353.15,9.898992602,0,5.696461819,168.9131443,958.2229045,4,3,5,4,4,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
1349,3.0,44.0,57644.66,13.92045623,1,6.485770796,138.2226415,1291.915318,3,3,3,3,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1351,1.0,70.0,27990.52,7.926507303,1,19.43267321,172.0963743,1884.50089,4,5,3,5,2,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
1354,1.0,76.0,42506.64,11.56277626,0,4.860645308,173.1131469,742.7794122,2,2,4,3,4,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0
1360,0.0,66.0,41527.17,10.81184587,0,2.478012402,206.7716354,1057.037731,2,3,2,4,3,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
1361,0.0,35.0,11098.51,5.522457389,0,4.089115347,256.1538112,1467.90459,3,2,3,5,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0
1366,9.0,43.0,54250.43,9.72624252,0,3.187512279,158.5050749,1201.898094,2,3,2,2,5,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
1368,0.0,23.0,41979.65,5.637475619,0,5.146834768,171.8844014,1237.560637,4,3,5,4,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0
1373,1.0,32.0,57826.31,5.376651232,0,2.045299662,135.5820581,495.8370195,4,4,4,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1376,0.0,48.0,47229.76,12.7237558,1,5.427546075,116.9158077,1111.834697,3,3,4,4,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0
1377,4.0,40.0,22390.15,9.349457846,1,14.05740045,189.6353946,1887.197833,5,5,6,4,3,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0
1379,4.0,64.0,71721.17,16.17243728,1,14.23594392,171.3997709,1507.046722,3,3,4,3,4,3,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
1389,1.0,44.0,21817.19,10.22165693,0,6.307898491,160.9569505,726.8978219,4,3,3,3,4,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0
1395,2.0,55.0,57281.66,7.269862271,1,3.469955007,244.1356259,961.4921994,2,3,2,3,3,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0
1405,3.0,87.0,11565.2,9.892109802,0,2.288223389,244.7078604,937.6860638,4,5,4,6,1,6,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
1407,1.0,82.0,10429.51,7.951242464,1,17.01228541,222.4810569,2294.265591,3,4,5,4,4,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0
1412,3.0,41.0,17888.07,14.80638969,0,2.495010749,130.1288971,935.5106086,2,3,3,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
1421,1.0,22.0,13337.97,10.58431033,1,3.295993837,217.0634965,839.4587853,4,2,3,2,4,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0
1429,3.0,28.0,24984.75,9.606841706,1,16.78883402,205.4662764,1982.607316,2,3,3,4,2,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0
1434,4.0,39.0,96112.52,10.5107273,0,1.915736733,119.47682,587.0970427,4,4,4,3,2,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
1435,0.0,55.0,23194.97,13.09475432,0,14.02688588,244.959408,2207.767111,4,3,3,2,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0
1436,8.0,86.0,37302.74,9.576495362,1,20.96098587,214.6438729,2252.093831,2,2,3,3,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0
1442,9.0,63.0,32285.99,10.91569727,0,19.73065009,173.9150741,2095.858312,3,3,4,4,1,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0
1444,4.0,46.0,65864.17,13.1974488,0,7.349883172,128.4140167,885.546457,3,2,4,2,2,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
1448,1.0,57.0,47514.11,8.72917383,1,13.24581884,112.2870086,1171.036365,3,4,3,3,4,4,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1451,2.0,69.0,53103.72,7.068052413,1,9.07813252,124.6553687,814.974232,3,2,2,2,3,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
1459,0.0,39.0,13724.61,11.38703079,0,3.354127023,126.7806875,468.2897271,5,3,4,4,4,3,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0
1471,7.0,74.0,46946.24,6.831375979,0,17.5841798,154.2616284,2356.021599,4,4,4,2,4,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0
1486,1.0,76.0,70607.91,8.770690371,0,7.517405581,229.829679,1108.349605,2,3,3,2,4,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
1487,1.0,69.0,55322.08,16.41538399,0,11.44196811,125.1557534,986.7489919,3,3,3,3,3,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1493,4.0,81.0,24859.24,9.014000495,0,2.744401393,103.6592708,484.8207127,5,5,5,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
1494,1.0,79.0,69154.47,8.699674482,0,7.608938235,167.496125,1422.716519,4,4,5,3,4,3,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0
1497,1.0,77.0,11290.67,12.77819945,1,5.497366828,186.7640899,1243.061143,4,5,5,5,3,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0
1511,3.0,80.0,22140.16,10.24136196,0,2.60003549,103.7688195,445.4856462,3,4,4,4,4,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
1516,1.0,70.0,22139.63,8.738540687,0,11.55805828,232.0126709,1526.533644,4,4,3,4,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
1523,1.0,78.0,19826.08,8.307300011,0,4.089399488,140.6728676,644.5909961,4,4,4,3,2,5,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
1531,3.0,57.0,8515.02,8.381132426,0,11.75090487,214.347694,1357.774068,2,3,3,4,3,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0
1534,3.0,44.0,28776.49,8.383501257,0,11.48699577,174.6151994,1819.555319,4,3,4,5,3,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0
1538,3.0,86.0,33394.07,12.60705848,0,8.447638937,199.2898667,1162.715411,3,4,3,4,2,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0
1543,1.0,38.0,28822.56,3.578337373,1,1.992846597,134.4760422,718.7685676,5,5,3,4,4,5,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1547,2.0,72.0,17236.27,2.405847771,1,1.934171569,193.5145833,580.4609705,4,4,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0
1558,0.0,28.0,57821.02,37.20116639,0,8.915680176,167.9544477,1116.314298,4,4,3,3,3,4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1572,0.0,34.0,52634.87,5.031257586,0,3.098560266,180.6499702,723.0321035,4,4,4,5,4,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0
1576,2.0,80.0,23041.14,8.256166953,0,2.355538593,199.4911555,778.2707384,2,1,3,3,3,4,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0
1582,8.0,32.0,57380.34,10.86310659,1,12.68609343,164.0849784,2025.927893,3,4,4,2,4,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
1586,4.0,67.0,14236.42,3.604301822,0,2.593102097,125.3396865,351.7314539,4,4,4,2,4,5,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
1590,1.0,63.0,37639.9,12.06722573,0,8.344516765,113.5910394,667.4764252,2,2,3,3,5,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1592,1.0,87.0,8543.01,12.30696946,0,11.07800251,193.2095655,1204.745285,3,3,3,4,2,5,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1
1596,4.0,88.0,42526.92,9.821992162,1,13.99605863,139.1502141,1465.984907,3,2,3,3,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0
1597,4.0,64.0,9041.08,9.162571223,2,6.605815722,195.2619493,1018.373473,2,2,3,4,2,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
